Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Palestinian Territory,Al-Quds,548.50,548.50,542.42,+0.32,+0.06%,06:59:00
Peru,S&P Lima General,"27,595.69","28,220.19","27,564.90",0.00,0.00%,12/04
Peru,S&P Lima Select,"33,306.80","33,857.64","33,282.92",0.00,0.00%,12/04
Peru,S&P Peru Select,707.62,726.62,707.02,0.00,0.00%,12/04
Philippines,PSEi Composite,"6,562.43","6,630.43","6,556.93",-96.96,-1.46%,02:50:00
Philippines,FTSE Philippines,599.29,599.29,599.29,0.00,0.00%,12/04
Philippines,PHS All Shares,"3,478.11","3,506.73","3,476.80",-39.29,-1.12%,02:50:00
Poland,WIG20,"2,453.31","2,475.35","2,447.33",+7.15,+0.29%,11:15:00
Poland,WIG30,"3,041.97","3,068.30","3,034.88",+11.85,+0.39%,11:15:00
Poland,mWIG40,"6,284.19","6,331.84","6,262.23",+48.00,+0.77%,11:15:00
Poland,sWIG80,"24,375.55","24,399.55","24,302.62",+77.06,+0.32%,11:15:00
Poland,WIG,"83,173.12","83,785.68","83,023.17",+308.45,+0.37%,11:15:00
Portugal,PSI,"6,268.88","6,345.71","6,263.85",-68.55,-1.08%,11:35:45
Portugal,PSI All Share GR,"4,229.45","4,270.39","4,191.48",+38.26,+0.91%,12/04
Qatar,QE General,"9,921.37","9,944.84","9,843.70",+77.01,+0.78%,06:10:00
Qatar,FTSE NASDAQ Qatar 10,"5,849.37","5,893.77","5,827.62",-44.40,-0.75%,06:14:00
Qatar,QE All Shares,"3,467.16","3,475.22","3,443.00",+23.57,+0.68%,06:10:00
Romania,BET,"16,882.42","17,084.69","16,872.21",-130.74,-0.77%,12/04
Romania,Bucharest BET-XT,"1,440.85","1,456.72","1,440.23",-10.89,-0.75%,12/04
Russia,MOEX,"3,474.68","3,476.98","3,454.06",+18.44,+0.53%,11:40:00
Russia,RTSI,"1,167.62","1,170.51","1,161.36",+2.09,+0.18%,11:40:00
Russia,MOEX 10,"6,626.75","6,634.38","6,588.24",+41.35,+0.63%,11:40:00
Russia,MOEX Blue Chip,"21,944.49","21,960.69","21,813.00",+95.61,+0.44%,11:40:00
Russia,Russian VIX,21.170,25.080,20.760,+0.530,+2.57%,11:43:46
Rwanda,Rwanda All Share,144.71,144.71,144.71,-0.20,-0.14%,12/04
Rwanda,Rwanda Share,110.34,110.34,110.34,0.00,0.00%,10/03
Saudi Arabia,MSCI TADAWUL 30,"1,610.23","1,627.69","1,609.69",-4.77,-0.30%,08:15:45
Saudi Arabia,Tadawul All Share,"12,708.34","12,812.13","12,640.44",+41.44,+0.33%,08:15:59
Saudi Arabia,NOMU Parallel Market Capped,"26,548.59","26,753.33","26,418.88",+158.48,+0.60%,08:15:56
Serbia,Belex 15,"1,000.46","1,014.92",997.76,-9.45,-0.94%,08:01:00
Singapore,STI Index,"3,183.61","3,196.08","3,175.41",-33.30,-1.04%,05:20:00
Singapore,FTSE Singapore,343.40,343.40,343.40,0.00,0.00%,12/04
Singapore,MSCI Singapore,292.59,294.74,292.58,-1.91,-0.65%,12/04
Slovakia,SAX,316.19,316.19,316.19,-0.00,0.00%,12/04
Slovenia,Blue-Chip SBITOP,"1,419.13","1,438.14","1,412.67",-19.55,-1.36%,09:13:40
South Africa,South Africa Top 40,"68,348.49","69,142.00","68,307.50",-860.45,-1.24%,10:59:59
South Africa,FTSE South Africa,"3,910.92","3,910.92","3,910.92",+6.34,+0.16%,12/04
South Africa,FTSE/JSE All Share,"74,518.63","75,175.66","74,460.55",-793.13,-1.05%,10:59:59
South Korea,KOSPI,"2,670.14","2,673.26","2,641.16",-11.68,-0.44%,02:30:30
South Korea,KOSPI 50,"2,530.81","2,534.52","2,498.54",-10.82,-0.43%,02:30:30
South Korea,FTSE Korea,413.08,413.08,413.08,0.00,0.00%,12/04
South Korea,KOSDAQ,852.42,854.51,842.84,-8.05,-0.94%,02:32:30
South Korea,KQ 100,"2,020.57","2,032.26","1,997.54",-17.27,-0.85%,02:30:30
South Korea,KOSPI 100,"2,753.42","2,757.23","2,720.70",-13.83,-0.50%,02:30:30
South Korea,KOSPI 200,365.26,365.74,361.01,-1.99,-0.54%,02:30:28
South Korea,KOSPI Large Sized,"2,677.78","2,681.87","2,646.76",-12.14,-0.45%,02:30:30
South Korea,KOSPI Medium Sized,"2,816.16","2,817.27","2,788.99",-10.98,-0.39%,02:30:30
South Korea,KOSPI Small Sized,"2,287.96","2,287.96","2,268.90",-5.34,-0.23%,02:30:30
South Korea,KRX 100,"5,688.39","5,696.65","5,622.87",-25.44,-0.45%,02:30:30
Spain,IBEX 35,"10,687.01","10,752.50","10,657.50",+1.01,+0.01%,11:34:58
