Country,Indices,Last,High,Low,Chg.,Chg%,Date/Time
Philippines,FTSE Philippines,599.29,599.29,599.29,0.0,0.0,
Philippines,PHS All Shares,3478.11,3506.73,3476.8,-39.29,-1.12,2024-04-15 02:50:00
Poland,WIG20,2453.31,2475.35,2447.33,7.15,0.29,2024-04-15 11:15:00
Poland,WIG30,3041.97,3068.3,3034.88,11.85,0.39,2024-04-15 11:15:00
Poland,mWIG40,6284.19,6331.84,6262.23,48.0,0.77,2024-04-15 11:15:00
Poland,sWIG80,24375.55,24399.55,24302.62,77.06,0.32,2024-04-15 11:15:00
Poland,WIG,83173.12,83785.68,83023.17,308.45,0.37,2024-04-15 11:15:00
Portugal,PSI,6268.88,6345.71,6263.85,-68.55,-1.08,2024-04-15 11:35:45
Portugal,PSI All Share GR,4229.45,4270.39,4191.48,38.26,0.91,
Qatar,QE General,9921.37,9944.84,9843.7,77.01,0.78,2024-04-15 06:10:00
Qatar,FTSE NASDAQ Qatar 10,5849.37,5893.77,5827.62,-44.4,-0.75,2024-04-15 06:14:00
Qatar,QE All Shares,3467.16,3475.22,3443.0,23.57,0.68,2024-04-15 06:10:00
Romania,BET,16882.42,17084.69,16872.21,-130.74,-0.77,
Romania,Bucharest BET-XT,1440.85,1456.72,1440.23,-10.89,-0.75,
Russia,MOEX,3474.68,3476.98,3454.06,18.44,0.53,2024-04-15 11:40:00
Russia,RTSI,1167.62,1170.51,1161.36,2.09,0.18,2024-04-15 11:40:00
Russia,MOEX 10,6626.75,6634.38,6588.24,41.35,0.63,2024-04-15 11:40:00
Russia,MOEX Blue Chip,21944.49,21960.69,21813.0,95.61,0.44,2024-04-15 11:40:00
Russia,Russian VIX,21.17,25.08,20.76,0.53,2.57,2024-04-15 11:43:46
Rwanda,Rwanda All Share,144.71,144.71,144.71,-0.2,-0.14,
Rwanda,Rwanda Share,110.34,110.34,110.34,0.0,0.0,
Saudi Arabia,MSCI TADAWUL 30,1610.23,1627.69,1609.69,-4.77,-0.3,2024-04-15 08:15:45
Saudi Arabia,Tadawul All Share,12708.34,12812.13,12640.44,41.44,0.33,2024-04-15 08:15:59
Saudi Arabia,NOMU Parallel Market Capped,26548.59,26753.33,26418.88,158.48,0.6,2024-04-15 08:15:56
Serbia,Belex 15,1000.46,1014.92,997.76,-9.45,-0.94,2024-04-15 08:01:00
